Marshall ES,MARSHALL EL
Marshall MS,MARSHALL MIDDLE
Martinez C ES,MARTINEZ C EL
Martinez R ES,MARTINEZ R EL
McGowen ES,MCGOWEN EL
McNamara ES,MCNAMARA EL
McReynolds MS,MCREYNOLDS MIDDLE
Memorial ES,MEMORIAL EL
Meyerland MS,MEYERLAND MIDDLE
Middle College HS - Fraga,MIDDLE COLLEGE H S AT HCC FRAGA
Middle College HS - Gulfton,MIDDLE COLLEGE H S AT HCC GULFTON
Milby HS,MILBY H S
Milne ES,MILNE EL
Mistral ECC,MISTRAL CENTER FOR EARLY CHILDHOOD
Mitchell ES,MITCHELL EL
MLK ECC,KING EARLY CHILDHOOD CTR
Montgomery ES,MONTGOMERY EL
Moreno ES,MORENO EL
Mount Carmel Acad HS,MOUNT CARMEL ACADEMY
Navarro MS,NAVARRO MIDDLE
Neff ECC,NEFF ECC
Neff ES,NEFF EL
North Forest HS,NORTH FOREST H S
North Houston EC HS,NORTH HOUSTON EARLY COLLEGE H S
Northline ES,NORTHLINE EL
Northside HS,NORTHSIDE H S
Oak Forest ES,OAK FOREST EL
Oates ES,OATES EL
Ortiz MS,ORTIZ MIDDLE
Osborne ES,OSBORNE EL
Paige ES,RODERICK R PAIGE EL
Park Place ES,PARK PLACE EL
Parker ES,PARKER EL
Patterson ES,PATTERSON EL
Peck ES,PECK EL
Pershing MS,PERSHING MIDDLE
Petersen ES,PETERSEN EL
Pilgrim  Acad,PILGRIM ACADEMY
Pin Oak MS,PIN OAK MIDDLE
Piney Point ES,PINEY POINT EL
Pleasantville ES,PLEASANTVILLE EL
Poe ES,POE EL
Port Houston ES,PORT HOUSTON EL
Pugh ES,PUGH EL
R D S P D,R D S P D
Reagan Ed Ctr PK-8,REAGAN K-8 EDUCATIONAL CTR
Red ES,RED EL
Revere MS,REVERE MIDDLE
Reynolds ES,REYNOLDS EL
Rice School PK-8,RICE SCH /LA ESCUELA RICE
River Oaks ES,RIVER OAKS EL
Roberts ES,ROBERTS EL
Robinson ES,ROBINSON EL
Rodriguez ES,RODRIGUEZ EL
Rogers T H,T H ROGERS SCHOOL
Roosevelt ES,ROOSEVELT EL
Ross ES,ROSS EL
Rucker ES,RUCKER EL
Sanchez ES,SANCHEZ EL
Scarborough ES,SCARBOROUGH EL
Scarborough HS,SCARBOROUGH H S
School at St. George ES,SCHOOL AT ST GEORGE PLACE
Scroggins ES,SCROGGINS EL
Secondary DAEP,SECONDARY DAEP
Seguin ES,SEGUIN EL
Shadowbriar ES,SHADOWBRIAR EL
Shadydale ES,SHADYDALE EL
Sharpstown HS,SHARPSTOWN H S
Sharpstown Intl,SHARPSTOWN INTERNATIONAL SCHOOL
Shearn ES,SHEARN EL
Sherman ES,SHERMAN EL
Sinclair ES,SINCLAIR EL
Smith ES,SMITH EL
SOAR Center,SOAR CTR
South EC HS,SOUTH EARLY COLLEGE H S
Southmayd ES,SOUTHMAYD EL
Sterling HS,STERLING H S
Stevens ES,STEVENS EL
Stevenson MS,STEVENSON MIDDLE
Sugar Grove MS,SUGAR GROVE ACADEMY
Sutton ES,SUTTON EL
Tanglewood MS,TANGLEWOOD MIDDLE
TCAH,TEXAS CONNECTIONS ACADEMY AT HOUSTON
Thomas MS,THOMAS MIDDLE
Thompson ES,THOMPSON EL
Tijerina ES,TIJERINA EL
Tinsley ES,TINSLEY EL
Travis ES,TRAVIS EL
Twain ES,TWAIN EL
Valley West ES,VALLEY WEST EL
Wainwright ES,WAINWRIGHT EL
Walnut Bend ES,WALNUT BEND EL
Waltrip HS,WALTRIP H S
Washington HS,WASHINGTON B T H S
Welch MS,WELCH MIDDLE
Wesley ES,WESLEY EL
West Briar MS,WEST BRIAR MIDDLE
West University ES,WEST UNIVERSITY EL
Westbury HS,WESTBURY H S
Westside HS,WESTSIDE H S
Wharton K-8,WHARTON K-8 DUAL LANGUAGE ACADEMY
Wheatley HS,WHEATLEY H S
Whidby ES,WHIDBY EL
White E ES,WHITE E EL
White M ES,MARK WHITE EL
Whittier ES,WHITTIER EL
Williams MS,WILLIAMS MIDDLE
Windsor Village ES,WINDSOR VILLAGE EL
Wisdom HS,WISDOM H S
Woodson,WOODSON SCHOOL
Worthing HS,WORTHING H S
Yates HS,YATES H S
Young ES,YOUNG EL
YWCPA,YOUNG WOMEN'S COLLEGE PREP ACADEMY
