CAMPUS,CAMPNAME,CPET504C,CPET504P,CPETALLC,CPETASIC,CPETASIP,CPETATTC,CPETATTD,CPETATTP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETDSLC,CPETDSLP,CPETECOC,CPETECOP,CPETFEMC,CPETFEMP,CPETFOSC,CPETFOSP,CPETHISC,CPETHISP,CPETHOMC,CPETHOMP,CPETIMMC,CPETIMMP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETMALC,CPETMALP,CPETMIGC,CPETMIGP,CPETMLCC,CPETMLCP,CPETNEDC,CPETNEDP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETTT1C,CPETTT1P,CPETTWOC,CPETTWOP,CPETWHIC,CPETWHIP,DISTNAME,DISTRICT
"'101912390","ENERGIZED FOR STEM ACADEMY MIDDLE",4,0.9,432,10,2.3,11,91,12.1,50,11.6,0,0,7,1.6,424,98.1,211,48.8,0,0,360,83.3,0,0,18,4.2,0,0,283,65.5,221,51.2,1,0.2,0,0,8,1.9,0,0,297,68.8,432,100,1,0.2,11,2.5,"HOUSTON ISD","'101912"
"'101912392","YOUNG LEARNERS",1,0.2,481,2,0.4,0,258,0,129,26.8,0,0,0,0,477,99.2,237,49.3,0,0,334,69.4,0,0,12,2.5,1,0.2,209,43.5,244,50.7,2,0.4,0,0,4,0.8,1,0.2,332,69,481,100,5,1,9,1.9,"HOUSTON ISD","'101912"
"'101912394","NEFF EL",16,2.1,750,51,6.8,76,595,12.8,52,6.9,0,0,8,1.1,703,93.7,371,49.5,0,0,630,84,9,1.2,56,7.5,0,0,539,71.9,379,50.5,3,0.4,0,0,47,6.3,0,0,562,74.9,750,100,1,0.1,16,2.1,"HOUSTON ISD","'101912"
"'101912395","HINES-CALDWELL",12,1.7,723,5,0.7,87,685,12.7,128,17.7,0,0,23,3.2,669,92.5,377,52.1,0,0,582,80.5,5,0.7,14,1.9,0,0,441,61,346,47.9,2,0.3,0,0,54,7.5,0,0,509,70.4,723,100,4,0.6,4,0.6,"HOUSTON ISD","'101912"
"'101912396","RAY DAILY EL",9,1.3,718,108,15,210,672,31.3,209,29.1,0,0,7,1,429,59.7,354,49.3,0,0,269,37.5,0,0,128,17.8,3,0.4,289,40.3,364,50.7,0,0,0,0,289,40.3,1,0.1,367,51.1,718,100,19,2.6,109,15.2,"HOUSTON ISD","'101912"
"'101912402","SECONDARY DAEP",0,0,9,0,0,.,.,.,6,66.7,12,1.6,0,0,8,88.9,3,33.3,0,0,2,22.2,0,0,0,0,0,0,0,0,6,66.7,0,0,0,0,1,11.1,0,0,9,100,9,100,0,0,1,11.1,"HOUSTON ISD","'101912"
"'101912456","H S AHEAD ACADEMY",22,13.8,160,0,0,97,165,58.8,89,55.6,17,7.3,12,7.5,159,99.4,62,38.8,0,0,68,42.5,22,13.8,0,0,0,0,30,18.8,98,61.3,0,0,0,0,1,0.6,0,0,132,82.5,160,100,2,1.3,1,0.6,"HOUSTON ISD","'101912"
"'101912458","MICKEY LELAND COLLEGE PREP ACAD FO",25,5.5,458,3,0.7,68,434,15.7,241,52.6,0,0,8,1.7,290,63.3,0,0,0,0,201,43.9,0,0,1,0.2,0,0,36,7.9,458,100,0,0,0,0,168,36.7,0,0,113,24.7,458,100,4,0.9,9,2,"HOUSTON ISD","'101912"
"'101912460","MANDARIN IMMERSION MAGNET SCHOOL",28,3.9,726,319,43.9,98,656,14.9,108,14.9,0,0,9,1.2,199,27.4,373,51.4,0,0,125,17.2,0,0,7,1,0,0,90,12.4,353,48.6,0,0,0,0,527,72.6,1,0.1,154,21.2,0,0,79,10.9,94,12.9,"HOUSTON ISD","'101912"
"'101912463","YOUNG WOMEN'S COLLEGE PREP ACADEMY",32,5.9,541,7,1.3,83,487,17,281,51.9,0,0,10,1.8,363,67.1,540,99.8,0,0,224,41.4,3,0.6,0,0,3,0.6,29,5.4,1,0.2,0,0,0,0,178,32.9,0,0,88,16.3,541,100,11,2,15,2.8,"HOUSTON ISD","'101912"
"'101912467","BAYLOR COLLEGE OF MEDICINE ACADEMY",27,4.3,621,33,5.3,46,443,10.4,299,48.1,0,0,11,1.8,479,77.1,319,51.4,0,0,259,41.7,1,0.2,1,0.2,1,0.2,51,8.2,302,48.6,0,0,0,0,142,22.9,0,0,87,14,621,100,5,0.8,24,3.9,"HOUSTON ISD","'101912"
"'101912468","ENERGY INSTITUTE H S",92,12.1,763,26,3.4,62,584,10.6,204,26.7,14,1.9,31,4.1,385,50.5,247,32.4,0,0,363,47.6,3,0.4,1,0.1,2,0.3,34,4.5,516,67.6,1,0.1,0,0,378,49.5,0,0,231,30.3,763,100,14,1.8,154,20.2,"HOUSTON ISD","'101912"
"'101912470","FONWOOD EARLY CHILDHOOD CTR",1,0.3,360,0,0,422,533,79.2,228,63.3,0,0,0,0,360,100,190,52.8,6,1.7,130,36.1,8,2.2,3,0.8,0,0,110,30.6,170,47.2,1,0.3,1,0.3,0,0,1,0.3,314,87.2,360,100,0,0,1,0.3,"HOUSTON ISD","'101912"
"'101912473","HILLIARD EL",15,2.8,542,1,0.2,131,482,27.2,368,67.9,0,0,8,1.5,525,96.9,288,53.1,4,0.7,160,29.5,18,3.3,2,0.4,1,0.2,79,14.6,254,46.9,0,0,0,0,17,3.1,0,0,247,45.6,542,100,5,0.9,7,1.3,"HOUSTON ISD","'101912"
"'101912475","ELMORE EL",10,1.6,607,1,0.2,134,549,24.4,270,44.5,1,0.1,5,0.8,595,98,287,47.3,2,0.3,328,54,20,3.3,23,3.8,0,0,239,39.4,320,52.7,1,0.2,0,0,12,2,0,0,333,54.9,607,100,2,0.3,6,1,"HOUSTON ISD","'101912"
"'101912476","FOREST BROOK MIDDLE",30,3.7,803,1,0.1,108,529,20.4,474,59,30,3.2,23,2.9,791,98.5,390,48.6,1,0.1,314,39.1,59,7.3,5,0.6,3,0.4,171,21.3,413,51.4,2,0.2,0,0,12,1.5,0,0,357,44.5,803,100,1,0.1,10,1.2,"HOUSTON ISD","'101912"
"'101912477","NORTH FOREST H S",18,1.9,969,1,0.1,168,783,21.5,550,56.8,50,4.5,30,3.1,928,95.8,482,49.7,1,0.1,404,41.7,177,18.3,18,1.9,3,0.3,169,17.4,487,50.3,0,0,0,0,41,4.2,0,0,616,63.6,969,100,1,0.1,10,1,"HOUSTON ISD","'101912"
"'101912478","ARABIC IMMERSION MAGNET SCHOOL",10,2.1,481,53,11,64,407,15.7,104,21.6,0,0,8,1.7,251,52.2,242,50.3,0,0,109,22.7,0,0,11,2.3,0,0,125,26,239,49.7,0,0,0,0,230,47.8,0,0,176,36.6,481,100,20,4.2,195,40.5,"HOUSTON ISD","'101912"
"'101912479","SHADYDALE EL",24,3.1,781,1,0.1,182,741,24.6,478,61.2,0,0,10,1.3,768,98.3,402,51.5,0,0,288,36.9,3,0.4,8,1,1,0.1,190,24.3,379,48.5,1,0.1,0,0,13,1.7,0,0,336,43,781,100,5,0.6,8,1,"HOUSTON ISD","'101912"
"'101912480","MARSHALL EL",10,1.3,767,0,0,125,726,17.2,235,30.6,0,0,11,1.4,750,97.8,367,47.8,0,0,519,67.7,0,0,14,1.8,1,0.1,419,54.6,400,52.2,1,0.1,0,0,17,2.2,1,0.1,485,63.2,767,100,2,0.3,9,1.2,"HOUSTON ISD","'101912"
"'101912483","MARK WHITE EL",14,2.2,631,95,15.1,166,627,26.5,127,20.1,0,0,10,1.6,450,71.3,316,50.1,0,0,257,40.7,0,0,64,10.1,5,0.8,305,48.3,315,49.9,0,0,0,0,181,28.7,1,0.2,366,58,631,100,12,1.9,134,21.2,"HOUSTON ISD","'101912"
"'101912484","MIDDLE COLLEGE H S AT HCC GULFTON",3,2.3,128,1,0.8,58,138,42,20,15.6,1,0.5,1,0.8,124,96.9,64,50,0,0,103,80.5,1,0.8,0,0,0,0,31,24.2,64,50,1,0.8,0,0,4,3.1,1,0.8,105,82,128,100,0,0,3,2.3,"HOUSTON ISD","'101912"
"'101912485","MIDDLE COLLEGE H S AT HCC FRAGA",5,4.9,103,0,0,37,110,33.6,5,4.9,0,0,1,1,92,89.3,55,53.4,0,0,98,95.1,10,9.7,0,0,0,0,24,23.3,48,46.6,0,0,0,0,11,10.7,0,0,68,66,103,100,0,0,0,0,"HOUSTON ISD","'101912"
"'101912486","SOUTH EARLY COLLEGE H S",26,6.1,427,9,2.1,31,331,9.4,199,46.6,0,0,6,1.4,355,83.1,242,56.7,0,0,209,48.9,2,0.5,0,0,0,0,40,9.4,185,43.3,1,0.2,0,0,72,16.9,2,0.5,138,32.3,427,100,0,0,8,1.9,"HOUSTON ISD","'101912"
