CAMPUS,CAMPNAME,CPET504C,CPET504P,CPETALLC,CPETASIC,CPETASIP,CPETATTC,CPETATTD,CPETATTP,CPETBLAC,CPETBLAP,CPETDISC,CPETDISP,CPETDSLC,CPETDSLP,CPETECOC,CPETECOP,CPETFEMC,CPETFEMP,CPETFOSC,CPETFOSP,CPETHISC,CPETHISP,CPETHOMC,CPETHOMP,CPETIMMC,CPETIMMP,CPETINDC,CPETINDP,CPETLEPC,CPETLEPP,CPETMALC,CPETMALP,CPETMIGC,CPETMIGP,CPETMLCC,CPETMLCP,CPETNEDC,CPETNEDP,CPETPCIC,CPETPCIP,CPETRSKC,CPETRSKP,CPETTT1C,CPETTT1P,CPETTWOC,CPETTWOP,CPETWHIC,CPETWHIP,DISTNAME,DISTRICT
"'101912354","MISTRAL CENTER FOR EARLY CHILDHOOD",0,0,263,14,5.3,267,349,76.5,33,12.5,0,0,0,0,253,96.2,128,48.7,0,0,206,78.3,8,3,29,11,1,0.4,214,81.4,135,51.3,0,0,0,0,10,3.8,0,0,253,96.2,263,100,1,0.4,8,3,"HOUSTON ISD","'101912"
"'101912355","KING EARLY CHILDHOOD CTR",0,0,279,0,0,331,401,82.5,155,55.6,0,0,0,0,279,100,152,54.5,0,0,121,43.4,7,2.5,2,0.7,0,0,75,26.9,127,45.5,0,0,0,0,0,0,0,0,247,88.5,279,100,1,0.4,2,0.7,"HOUSTON ISD","'101912"
"'101912357","LAURENZO EARLY CHILDHOOD CTR",0,0,207,0,0,203,317,64,4,1.9,0,0,0,0,203,98.1,99,47.8,0,0,196,94.7,0,0,1,0.5,1,0.5,111,53.6,108,52.2,0,0,0,0,4,1.9,0,0,198,95.7,207,100,3,1.4,3,1.4,"HOUSTON ISD","'101912"
"'101912358","COOK JR EL",13,2.5,520,1,0.2,179,557,32.1,309,59.4,0,0,11,2.1,508,97.7,239,46,0,0,193,37.1,2,0.4,0,0,1,0.2,123,23.7,281,54,1,0.2,0,0,12,2.3,0,0,240,46.2,520,100,5,1,11,2.1,"HOUSTON ISD","'101912"
"'101912359","MORENO EL",3,0.4,703,3,0.4,89,611,14.6,14,2,0,0,3,0.4,698,99.3,358,50.9,0,0,678,96.4,0,0,28,4,0,0,450,64,345,49.1,0,0,0,0,5,0.7,0,0,510,72.5,703,100,1,0.1,7,1,"HOUSTON ISD","'101912"
"'101912360","BELLFORT EARLY CHILDHOOD CENTER",0,0,347,1,0.3,33,177,18.6,64,18.4,0,0,0,0,344,99.1,164,47.3,0,0,269,77.5,0,0,9,2.6,1,0.3,207,59.7,183,52.7,0,0,0,0,3,0.9,0,0,276,79.5,347,100,2,0.6,10,2.9,"HOUSTON ISD","'101912"
"'101912364","ENERGIZED FOR EXCELLENCE ACADEMY E",2,0.1,1467,7,0.5,198,1367,14.5,200,13.6,0,0,8,0.5,1431,97.5,735,50.1,0,0,1249,85.1,1,0.1,130,8.9,5,0.3,1136,77.4,732,49.9,0,0,0,0,36,2.5,0,0,1197,81.6,1467,100,1,0.1,5,0.3,"HOUSTON ISD","'101912"
"'101912369","GROSS EL",8,1.5,534,7,1.3,108,520,20.8,241,45.1,0,0,6,1.1,512,95.9,260,48.7,0,0,272,50.9,10,1.9,9,1.7,0,0,210,39.3,274,51.3,1,0.2,0,0,22,4.1,0,0,304,56.9,534,100,3,0.6,11,2.1,"HOUSTON ISD","'101912"
"'101912371","YOUNG SCHOLARS ACADEMY FOR EXCELLE",1,0.9,107,0,0,49,123,39.8,102,95.3,0,0,3,2.8,98,91.6,58,54.2,0,0,4,3.7,0,0,0,0,0,0,0,0,49,45.8,0,0,0,0,9,8.4,0,0,40,37.4,107,100,0,0,1,0.9,"HOUSTON ISD","'101912"
"'101912372","RODRIGUEZ EL",3,0.3,961,38,4,168,838,20,70,7.3,0,0,10,1,945,98.3,456,47.5,0,0,841,87.5,8,0.8,215,22.4,1,0.1,803,83.6,505,52.5,2,0.2,0,0,16,1.7,1,0.1,845,87.9,961,100,2,0.2,8,0.8,"HOUSTON ISD","'101912"
"'101912373","SEGUIN EL",6,1.4,441,0,0,84,448,18.8,37,8.4,0,0,7,1.6,413,93.7,227,51.5,0,0,399,90.5,0,0,23,5.2,0,0,255,57.8,214,48.5,1,0.2,0,0,28,6.3,0,0,303,68.7,441,100,1,0.2,4,0.9,"HOUSTON ISD","'101912"
"'101912374","TINSLEY EL",8,1.4,580,1,0.2,124,539,23,57,9.8,0,0,3,0.5,574,99,297,51.2,0,0,518,89.3,1,0.2,127,21.9,1,0.2,482,83.1,283,48.8,0,0,0,0,6,1,0,0,511,88.1,580,100,2,0.3,1,0.2,"HOUSTON ISD","'101912"
"'101912380","R D S P D",0,0,30,1,3.3,0,21,0,3,10,0,0,0,0,8,26.7,17,56.7,0,0,17,56.7,0,0,0,0,0,0,0,0,13,43.3,0,0,0,0,22,73.3,0,0,0,0,0,0,0,0,9,30,"HOUSTON ISD","'101912"
"'101912382","REAGAN K-8 EDUCATIONAL CTR",25,2.9,874,3,0.3,171,888,19.3,248,28.4,12,1.1,23,2.6,818,93.6,392,44.9,0,0,613,70.1,4,0.5,22,2.5,1,0.1,456,52.2,482,55.1,4,0.5,0,0,56,6.4,0,0,542,62,874,100,2,0.2,7,0.8,"HOUSTON ISD","'101912"
"'101912383","DEANDA EL",5,0.8,603,6,1,114,593,19.2,25,4.1,0,0,13,2.2,552,91.5,293,48.6,0,0,561,93,13,2.2,23,3.8,0,0,373,61.9,310,51.4,0,0,0,0,51,8.5,0,0,414,68.7,603,100,2,0.3,9,1.5,"HOUSTON ISD","'101912"
"'101912389","KETELSEN EL",8,1.6,511,0,0,57,465,12.3,13,2.5,0,0,15,2.9,487,95.3,268,52.4,0,0,492,96.3,1,0.2,12,2.3,0,0,206,40.3,243,47.6,0,0,0,0,24,4.7,0,0,283,55.4,511,100,1,0.2,5,1,"HOUSTON ISD","'101912"
