,0
0,n/a
1,Hattie Mae White
2,"4400 W 18th St, Houston, TX 77092"
3,n/a
4,29.802759908899148
5,-95.45410037006431
6,ChIJ9_tphxzHQIYRIMyPy_d3VZU
