,Campus Short Name,School_Nam
148,Liberty HS Day Classes,LIBERTY H S
149,Liberty HS Night Classes,LIBERTY H S
150,Lockhart ES,LOCKHART EL
151,Long Acad,LONG ACADEMY
152,Longfellow ES,LONGFELLOW EL
153,Looscan ES,LOOSCAN EL
154,Love ES,LOVE EL
155,Lovett ES,LOVETT EL
156,Lyons ES,LYONS EL
157,MacGregor ES,MACGREGOR EL
158,Mading ES,MADING EL
159,Madison HS,MADISON H S
160,Mandarin Immersion Magnet,MANDARIN IMMERSION MAGNET SCHOOL
161,Marshall ES,MARSHALL EL
162,Marshall MS,MARSHALL EL
163,Martinez C ES,MARTINEZ C EL
164,Martinez R ES,MARTINEZ R EL
165,McGowen ES,MCGOWEN EL
166,McNamara ES,MCNAMARA EL
167,McReynolds MS,MCREYNOLDS MIDDLE
168,Memorial ES,MEMORIAL EL
169,Meyerland MS,MEYERLAND MIDDLE
170,Middle College HS - Fraga,MIDDLE COLLEGE H S AT HCC FRAGA
171,Middle College HS - Gulfton,MIDDLE COLLEGE H S AT HCC GULFTON
172,Milby HS,MILBY H S
173,Milne ES,MILNE EL
174,Mistral ECC,ENERGIZED FOR EXCELLENCE ACADEMY ECC
175,Mitchell ES,MITCHELL EL
176,MLK ECC,ENERGIZED FOR EXCELLENCE ACADEMY ECC
177,Montgomery ES,MONTGOMERY EL
178,Moreno ES,MORENO EL
179,Mount Carmel Acad HS,MICKEY LELAND COLLEGE PREP ACAD FOR YOUNG MEN
180,Navarro MS,NAVARRO MIDDLE
181,Neff ECC,NEFF ECC
182,Neff ES,NEFF EL
183,North Forest HS,NORTH FOREST H S
184,North Houston EC HS,TEXAS CONNECTIONS ACADEMY AT HOUSTON
185,Northline ES,NORTHLINE EL
186,Northside HS,NORTHSIDE H S
187,Oak Forest ES,OAK FOREST EL
188,Oates ES,OATES EL
189,Ortiz MS,ORTIZ MIDDLE
190,Osborne ES,OSBORNE EL
191,Paige ES,RODERICK R PAIGE EL
192,Park Place ES,PARK PLACE EL
193,Parker ES,PARKER EL
194,Patterson ES,PATTERSON EL
195,Peck ES,PECK EL
196,Pershing MS,PERSHING MIDDLE
197,Petersen ES,PETERSEN EL
198,Pilgrim  Acad,PILGRIM ACADEMY
199,Pin Oak MS,PIN OAK MIDDLE
200,Piney Point ES,PINEY POINT EL
201,Pleasantville ES,PLEASANTVILLE EL
202,Poe ES,POE EL
203,Port Houston ES,PORT HOUSTON EL
204,Pugh ES,PUGH EL
205,R D S P D,R D S P D
206,Reagan Ed Ctr PK-8,SOAR CTR
207,Red ES,RED EL
208,Revere MS,REVERE MIDDLE
209,Reynolds ES,REYNOLDS EL
210,Rice School PK-8,RICE SCH /LA ESCUELA RICE
211,River Oaks ES,RIVER OAKS EL
212,Roberts ES,ROBERTS EL
213,Robinson ES,ROBINSON EL
214,Rodriguez ES,RODRIGUEZ EL
215,Rogers T H,WASHINGTON B T H S
216,Roosevelt ES,ROOSEVELT EL
217,Ross ES,ROSS EL
218,Rucker ES,RUCKER EL
219,Sanchez ES,SANCHEZ EL
220,Scarborough ES,SCARBOROUGH EL
221,Scarborough HS,SCARBOROUGH H S
222,School at St. George ES,SCHOOL AT ST GEORGE PLACE
223,Scroggins ES,SCROGGINS EL
224,Secondary DAEP,SECONDARY DAEP
225,Seguin ES,SEGUIN EL
226,Shadowbriar ES,SHADOWBRIAR EL
227,Shadydale ES,SHADYDALE EL
228,Sharpstown HS,SHARPSTOWN H S
229,Sharpstown Intl,SHARPSTOWN INTERNATIONAL SCHOOL
230,Shearn ES,SHEARN EL
231,Sherman ES,SHERMAN EL
232,Sinclair ES,SINCLAIR EL
233,Smith ES,SMITH EL
234,SOAR Center,HOUSTON MATH SCIENCE AND TECHNOLOGY CENTER
235,South EC HS,SOUTH EARLY COLLEGE H S
236,Southmayd ES,SOUTHMAYD EL
237,Sterling HS,STERLING H S
238,Stevens ES,STEVENS EL
239,Stevenson MS,STEVENSON MIDDLE
240,Sugar Grove MS,SUGAR GROVE ACADEMY
241,Sutton ES,SUTTON EL
242,Tanglewood MS,TANGLEWOOD MIDDLE
243,TCAH,PROJECT CHRYSALIS MIDDLE
244,Thomas MS,THOMAS MIDDLE
245,Thompson ES,THOMPSON EL
246,Tijerina ES,TIJERINA EL
247,Tinsley ES,TINSLEY EL
248,Travis ES,TRAVIS EL
249,Twain ES,TWAIN EL
250,Valley West ES,VALLEY WEST EL
251,Wainwright ES,WAINWRIGHT EL
252,Walnut Bend ES,WALNUT BEND EL
253,Waltrip HS,WALTRIP H S
254,Washington HS,WASHINGTON B T H S
255,Welch MS,WELCH MIDDLE
256,Wesley ES,WESLEY EL
257,West Briar MS,WEST BRIAR MIDDLE
258,West University ES,WEST UNIVERSITY EL
259,Westbury HS,WESTBURY H S
260,Westside HS,WESTSIDE H S
261,Wharton K-8,WHARTON K-8 DUAL LANGUAGE ACADEMY
262,Wheatley HS,WHEATLEY H S
263,Whidby ES,WHIDBY EL
264,White E ES,WHITE E EL
265,White M ES,WHITE E EL
266,Whittier ES,WHITTIER EL
267,Williams MS,WILLIAMS MIDDLE
268,Windsor Village ES,WINDSOR VILLAGE EL
269,Wisdom HS,WISDOM H S
270,Woodson,WOODSON SCHOOL
271,Worthing HS,WORTHING H S
272,Yates HS,YATES H S
273,Young ES,YOUNG EL
274,YWCPA,BRIARMEADOW CHARTER
